account_id,AirtimePin,LoanDisbursement,MerchantDeposit,LoanRepayment,amount,ok,delinquent,default
5f8927cf5c3c4a6abdd82949906b0440,2775,27,0,0,54240,27,0,0
61c15b22d6f9425ea3a64d7b6cc96e52,1596,21,0,0,31690,21,0,0
65089c9b6bc34baa81937446e0d539f2,5215,61,0,0,186960,61,0,0
65d3c17e6ed0492e9ee0dc3ddb3dc6f6,2950,1,0,0,46270,1,0,0
67b804cc72b64565a5c17ae80bec8f27,2800,2,0,0,45440,2,0,0
7365f4f8b4e04195bdac220d9d201e44,1686,7,0,0,28915,7,0,0
743e6b791db949a29a2f7ed5e78bc155,7823,19,0,0,142115,19,0,0
750264e2a9b24671ad9e3e33086864d8,2598,17,0,0,48735,17,0,0
77982336cebf4286b30f944ee5a785f8,3231,14,0,0,58055,9,2,3
78f1d5858ffd4f968b45b4baee977907,1137,1,0,0,11170,1,0,0
7b0d6876237e4b23abd21bcb2ffbaa11,864,4,0,0,11325,4,0,0
7c2cd2356226499d89082ca218dead90,4462,6,0,0,48985,6,0,0
7f521dd99d0d4b64a0013f31ea25801e,4166,53,0,0,94610,52,0,1
7f9901310ded4e2e9bceb9b595c254de,2937,1,0,0,25865,1,0,0
81da666bd316479487f2b7fae287e36d,2057,1,0,0,27750,1,0,0
83586bc3d6244f09aa4ec25e651bfccc,7510,2,0,0,87815,2,0,0
8c31a661eb4648ed898fc229519b2e4b,3605,2,0,0,57570,2,0,0
8c4fe92d808a44d7a040c391414e41c9,2203,28,0,0,67720,17,4,7
8cb06e61bdd740719718075e7f5a7744,2893,3,0,0,52885,3,0,0
978f73bf728e4e26bfbe61670897db22,3807,3,0,0,45290,3,0,0
9b3c41aad63644d184bb0ab6a03fb6c4,2840,6,0,0,37330,2,1,3
9ee35356e7c545b28edfd44ed81af3ac,1518,16,0,0,42130,11,4,1
a717222c7aae458f98d69833bb2c5996,854,1,0,0,12110,0,1,0
a7d997d93a714fa2a7ec9388c9fc2cd4,1407,7,0,0,33685,7,0,0
b0be7bca845f48d0a9d786133496d1f7,1330,1,0,0,17360,1,0,0
b0f7b440c74f4d54bb4ebaf64cfed121,6880,3,0,0,84315,3,0,0
b14349d48a084e81b3ec355eafeb5a41,2636,7,0,0,68580,5,2,0
b8140e745b07457699c128b075a16ee4,8437,7,0,0,129260,6,1,0
bc237d4d48f04433a250299021d03621,790,1,0,0,22385,0,1,0
bca3a5bc2a3846669b3bf54e8a72bc53,4310,6,0,0,41350,6,0,0
bde0f61714b24dcaa2fc21a3204229ba,5412,27,0,0,171400,26,1,0
c0506ebcc4be424487a515e251c96927,1101,4,0,0,13580,3,1,0
c6a5afe385b04dc4884b740089f4beaa,474,1,0,0,9315,1,0,0
cf583e18df804089ae2666d6d70d3570,1517,6,0,0,19245,6,0,0
d2a7a55400dd4233b4b8d3ab643dc76c,2711,13,0,0,50420,5,6,2
d61898f95f274288873ab1c4b4146717,2630,5,0,0,31840,5,0,0
d812384df75c4e2e8b8e469fb6d0fd59,3744,21,0,0,70930,16,5,0
dbc49cc6325240e3a87cea7d57ff1d14,4374,7,0,0,63625,7,0,0
de9280bcfa834d77bfa1c658e900fa0e,1992,5,0,0,32600,3,2,0
dfc8c29c76fd4b58a3821159903fa58d,796,1,0,0,11650,1,0,0
e10b6359478143ba98ec19c063e8fbc3,1877,1,0,0,25090,1,0,0
e331e804730749c388effcc58d5bd04b,1622,4,0,0,30585,4,0,0
e5fc362b25f945eabb9c5b6aa4362749,732,2,0,0,10685,2,0,0
f20cdccd212d4410a02237eb325a2ff5,1533,2,0,0,17840,1,1,0
fd5bcdd080c5441caccef843042dfc6e,2336,6,0,0,40435,6,0,0
